TRKJ2-1-10-001,笑う,laugh,n,n,Naoaki is laughing at Kanta,直彬が幹太を笑っている
TRKJ2-1-10-002,外国人,foreigner,n,n,,
TRKJ2-1-10-003,隣の,next to,n,n,My house is next to his house,私の家は彼の家の隣にある
TRKJ2-1-10-004,ラジオで,on the radio,n,n,a program on the radio,ラジオ番組
TRKJ2-1-10-005,注意を払う,pay attention,n,n,Pay attention to that,それに注意しなさい
TRKJ2-1-10-006,数学,mathematics,n,n,,
TRKJ2-1-10-007,情報,information,n,n,,
TRKJ2-1-10-008,本当の,real,n,n,,
TRKJ2-1-10-009,カラス,crow,n,n,,
TRKJ2-1-10-010,発明,invention,n,n,,
TRKJ2-1-10-011,放っておく,leave alone,n,n,Just leave me alone now,今は一人にして
TRKJ2-1-10-012,無料で,for free,n,n,I got the pencil for free,ただで鉛筆を手に入れた
TRKJ2-1-10-013,インターネット,Internet,n,n,,
TRKJ2-1-10-014,…を求める,ask for,n,n,I asked for Kanata's help,幹太の助けを求めた
TRKJ2-1-10-015,…にちなんで名付ける,name after,n,n,He is named after her grandfather,彼は彼女の祖父の名前にちなんで名付けられた
TRKJ2-1-10-016,習慣,custom,n,n,,
TRKJ2-1-10-017,手配する、お膳立てする,arrange,n,n,He arranges a meeting,彼は会議を手配した
TRKJ2-1-10-018,役に立つ,useful,n,n,,
TRKJ2-1-10-019,システム、体系,system,n,n,,
TRKJ2-1-10-020,ハンサムな,handsome,n,n,,
TRKJ2-1-10-021,手配,arrangement,n,n,travel arrangement,旅行の手配
TRKJ2-1-10-022,消す,turn off,n,n,Turn off the light,電気を消しなさい
TRKJ2-1-10-023,尊敬する,look up to,n,n,The teacher is looked up to by every student,その先生はすべての生徒に尊敬されている
TRKJ2-1-10-024,キャプテン,captain,n,n,,
TRKJ2-1-10-025,支持,support,n,n,great support,大きな支持
TRKJ2-1-10-026,アパート,apartment,n,n,,
TRKJ2-1-10-027,荷物,baggage,n,n,Carry her baggage,彼女の荷物を運びなさい
TRKJ2-1-10-028,登る,climb,n,n,I climbed Mt Fuji,富士山に登った
TRKJ2-1-10-029,しっぽ,tail,n,n,heads or tails,表か裏か
TRKJ2-1-10-030,どろぼう,thief,n,n,Set a thief to catch a thief,蛇の道は蛇（泥棒に泥棒をつかまえさせろ）
TRKJ2-1-10-031,混ぜる,mix,n,n,mix A with B,AをBと混ぜる
TRKJ2-1-10-032,匂いをかぐ、匂いがする,smell,n,n,I can smell something burning,なにか焦げている匂いがする
TRKJ2-1-10-033,賞,prize,n,n,win Akutagawa prize,芥川賞を受賞する
TRKJ2-1-10-034,職業,profession,n,n,,
TRKJ2-1-10-035,子守をする,babysit,n,n,,
TRKJ2-1-10-036,ありふれた,common,n,n,,
TRKJ2-1-10-037,お年寄りの,elderly,n,n,,
TRKJ2-1-10-038,賢明な,wise,n,n,,
TRKJ2-1-10-039,一方で,on the other hand,n,n,,
TRKJ2-1-10-040,化粧,make-up,n,n,She wears thick make-up,彼女は厚化粧をしている
TRKJ2-1-10-041,珍しい,rare,n,n,,
TRKJ2-1-10-042,看護する、看病する,nurse,n,n,,
TRKJ2-1-10-043,スタッフ、社員,staff,n,n,,
TRKJ2-1-10-044,事実,fact,n,n,The fact is that he always play games.,実はゲームをしている
TRKJ2-1-10-045,親戚,relative,n,n,,
TRKJ2-1-10-046,…が原因で,due to,n,n,,
TRKJ2-1-10-047,相対的な,relative,n,n,relative importance,相対的な重要性
TRKJ2-1-10-049,文化的な,文化的な,n,n,,
TRKJ2-1-10-050,差異,difference,n,n,,
TRKJ2-1-10-051,近くの,nearby,n,n,a nearby river,近くの川
TRKJ2-1-10-052,実際には,actually,n,n,Actually I don't have a dictionally,私は実は辞書を持っていない
TRKJ2-1-10-053,通常は,typically,n,n,,
TRKJ2-1-10-054,世話をする,care for,n,n,,
TRKJ2-1-10-055,利点,benefit,n,n,,
TRKJ2-1-10-056,世の中、社会,world,n,n,,
TRKJ2-1-10-057,経験,experience,n,n,,
TRKJ2-1-10-058,目上の人,senior,n,n,,
TRKJ2-1-10-059,ありがたく思う,appreciate,n,n,I appreciate Kanta's kindness,幹太の親切をありがたく思う
TRKJ2-1-10-060,はぐくむ（育む）,develop,n,n,We develop a close relationship,親しい簡易をはぐくんでいる
TRKJ2-1-10-061,関係,relationship,n,n,,
TRKJ2-1-10-062,認識できる、それとわかる,recognizable,n,n,a recognizable name,それと分かる名前
TRKJ2-1-10-063,歴史的な建物,landmark,n,n,,
TRKJ2-1-10-064,…の上に,atop,n,n,a tower sitting atop the building,その建物の上にそびえたつ塔
TRKJ2-1-10-065,議会,parliament,n,n,,
TRKJ2-1-10-066,魅力的な,fascinating,n,n,,
TRKJ2-1-10-067,責任,charge,n,n,He is in charge of the work,彼はその仕事に責任がある
TRKJ2-1-10-068,設置する,install,n,n,,
TRKJ2-1-10-069,位置づける,locate,n,n,is located at…,…に位置する
TRKJ2-1-10-070,長さが…ある,measure,n,n,It measures 5 cm,それは５cmの長さだ
TRKJ2-1-10-071,重さが…ある,weigh,n,n,It weighs 60kg,それは60kgの重さだ
TRKJ2-1-10-072,同じ,same,n,n,the same as…,…と同じだ
TRKJ2-1-10-073,（時間が）かかる,take,n,n,It takes an hour to drive to the office,会社まで車で一時間だ
TRKJ2-1-10-074,持ち上げる,lift,n,n,He lifts a big baggage up,彼は大きな荷物を持ち上げる
TRKJ2-1-10-075,象徴,symbol,n,n,,
